tensorized | epoch 68 | top1=0.1966 top2=0.2996 top3=0.3715 top4=0.4279 top5=0.4732 loss=0.051776 time=33.77s
tensorized | epoch 69 | top1=0.1974 top2=0.2993 top3=0.3721 top4=0.4291 top5=0.4749 loss=0.051768 time=33.73s
tensorized | epoch 70 | top1=0.1993 top2=0.3009 top3=0.3740 top4=0.4311 top5=0.4763 loss=0.051685 time=33.61s
tensorized | epoch 71 | top1=0.1977 top2=0.3009 top3=0.3714 top4=0.4277 top5=0.4741 loss=0.051558 time=33.64s
tensorized | epoch 72 | top1=0.1996 top2=0.3021 top3=0.3740 top4=0.4312 top5=0.4788 loss=0.051561 time=33.73s
tensorized | epoch 73 | top1=0.2015 top2=0.3036 top3=0.3754 top4=0.4295 top5=0.4750 loss=0.051549 time=33.63s
tensorized | epoch 74 | top1=0.2011 top2=0.3022 top3=0.3751 top4=0.4321 top5=0.4756 loss=0.051486 time=33.76s
tensorized | epoch 75 | top1=0.2026 top2=0.3039 top3=0.3750 top4=0.4308 top5=0.4766 loss=0.051557 time=33.75s
tensorized | epoch 76 | top1=0.2031 top2=0.3042 top3=0.3761 top4=0.4336 top5=0.4785 loss=0.051351 time=33.67s
tensorized | epoch 77 | top1=0.2028 top2=0.3057 top3=0.3773 top4=0.4329 top5=0.4782 loss=0.051334 time=33.69s
tensorized | epoch 78 | top1=0.2040 top2=0.3060 top3=0.3793 top4=0.4376 top5=0.4824 loss=0.051256 time=33.62s
tensorized | epoch 79 | top1=0.2033 top2=0.3072 top3=0.3798 top4=0.4378 top5=0.4828 loss=0.051252 time=33.59s
tensorized | epoch 80 | top1=0.2042 top2=0.3061 top3=0.3784 top4=0.4352 top5=0.4820 loss=0.051179 time=33.67s
tensorized | epoch 81 | top1=0.2060 top2=0.3111 top3=0.3852 top4=0.4423 top5=0.4888 loss=0.051013 time=33.68s
tensorized | epoch 82 | top1=0.2057 top2=0.3111 top3=0.3857 top4=0.4425 top5=0.4881 loss=0.050996 time=33.77s
tensorized | epoch 83 | top1=0.2063 top2=0.3100 top3=0.3848 top4=0.4405 top5=0.4853 loss=0.051048 time=33.65s
tensorized | epoch 84 | top1=0.2088 top2=0.3127 top3=0.3843 top4=0.4408 top5=0.4848 loss=0.050942 time=33.59s
tensorized | epoch 85 | top1=0.2077 top2=0.3132 top3=0.3863 top4=0.4435 top5=0.4895 loss=0.050836 time=33.69s
tensorized | epoch 86 | top1=0.2110 top2=0.3163 top3=0.3897 top4=0.4457 top5=0.4911 loss=0.050767 time=33.71s
