original | epoch 128 | top1=0.1863 top2=0.2504 top3=0.2914 top4=0.3210 top5=0.3444 loss=0.118718 time=218.74s
original | epoch 129 | top1=0.1843 top2=0.2494 top3=0.2906 top4=0.3203 top5=0.3443 loss=0.118702 time=218.90s
original | epoch 130 | top1=0.1862 top2=0.2496 top3=0.2892 top4=0.3190 top5=0.3423 loss=0.118428 time=218.77s
original | epoch 131 | top1=0.1842 top2=0.2482 top3=0.2874 top4=0.3169 top5=0.3408 loss=0.118714 time=218.61s
original | epoch 132 | top1=0.1815 top2=0.2441 top3=0.2835 top4=0.3135 top5=0.3369 loss=0.118782 time=219.11s
original | epoch 133 | top1=0.1874 top2=0.2519 top3=0.2918 top4=0.3221 top5=0.3458 loss=0.117754 time=219.07s
original | epoch 134 | top1=0.1919 top2=0.2576 top3=0.2988 top4=0.3292 top5=0.3530 loss=0.118441 time=218.79s
original | epoch 135 | top1=0.1905 top2=0.2555 top3=0.2965 top4=0.3269 top5=0.3510 loss=0.118034 time=218.88s
original | epoch 136 | top1=0.1899 top2=0.2554 top3=0.2952 top4=0.3245 top5=0.3493 loss=0.118581 time=218.58s
original | epoch 137 | top1=0.1908 top2=0.2558 top3=0.2977 top4=0.3280 top5=0.3512 loss=0.117933 time=219.24s
original | epoch 138 | top1=0.1890 top2=0.2551 top3=0.2949 top4=0.3251 top5=0.3490 loss=0.117847 time=218.95s
original | epoch 139 | top1=0.1890 top2=0.2536 top3=0.2939 top4=0.3239 top5=0.3475 loss=0.117977 time=218.98s
original | epoch 140 | top1=0.1866 top2=0.2512 top3=0.2909 top4=0.3206 top5=0.3441 loss=0.117659 time=218.90s
original | epoch 141 | top1=0.1901 top2=0.2548 top3=0.2959 top4=0.3256 top5=0.3498 loss=0.118093 time=218.68s
original | epoch 142 | top1=0.1926 top2=0.2584 top3=0.2997 top4=0.3310 top5=0.3548 loss=0.117689 time=218.56s
original | epoch 143 | top1=0.1885 top2=0.2539 top3=0.2945 top4=0.3246 top5=0.3487 loss=0.117824 time=218.63s
