tensorized | epoch 76 | top1=0.2633 top2=0.3820 top3=0.4617 top4=0.5197 top5=0.5663 loss=0.046200 time=33.67s
tensorized | epoch 77 | top1=0.2639 top2=0.3831 top3=0.4612 top4=0.5186 top5=0.5632 loss=0.046269 time=33.56s
tensorized | epoch 78 | top1=0.2663 top2=0.3843 top3=0.4625 top4=0.5199 top5=0.5658 loss=0.046079 time=33.66s
tensorized | epoch 79 | top1=0.2666 top2=0.3853 top3=0.4653 top4=0.5227 top5=0.5679 loss=0.046038 time=33.67s
tensorized | epoch 80 | top1=0.2692 top2=0.3877 top3=0.4680 top4=0.5254 top5=0.5709 loss=0.045894 time=33.56s
tensorized | epoch 81 | top1=0.2718 top2=0.3906 top3=0.4691 top4=0.5284 top5=0.5721 loss=0.045732 time=33.58s
tensorized | epoch 82 | top1=0.2707 top2=0.3912 top3=0.4702 top4=0.5271 top5=0.5716 loss=0.045746 time=33.55s
tensorized | epoch 83 | top1=0.2714 top2=0.3902 top3=0.4686 top4=0.5270 top5=0.5721 loss=0.045742 time=33.73s
tensorized | epoch 84 | top1=0.2750 top2=0.3935 top3=0.4707 top4=0.5293 top5=0.5743 loss=0.045542 time=33.69s
tensorized | epoch 85 | top1=0.2747 top2=0.3928 top3=0.4724 top4=0.5305 top5=0.5762 loss=0.045516 time=33.55s
tensorized | epoch 86 | top1=0.2727 top2=0.3940 top3=0.4732 top4=0.5309 top5=0.5774 loss=0.045430 time=33.55s
tensorized | epoch 87 | top1=0.2736 top2=0.3952 top3=0.4763 top4=0.5356 top5=0.5806 loss=0.045299 time=33.75s
tensorized | epoch 88 | top1=0.2751 top2=0.3964 top3=0.4755 top4=0.5330 top5=0.5792 loss=0.045287 time=33.68s
tensorized | epoch 89 | top1=0.2773 top2=0.3994 top3=0.4770 top4=0.5346 top5=0.5805 loss=0.045206 time=33.61s
tensorized | epoch 90 | top1=0.2766 top2=0.3966 top3=0.4783 top4=0.5372 top5=0.5825 loss=0.045109 time=33.66s
tensorized | epoch 91 | top1=0.2794 top2=0.4006 top3=0.4810 top4=0.5393 top5=0.5842 loss=0.044966 time=33.59s
tensorized | epoch 92 | top1=0.2802 top2=0.4021 top3=0.4826 top4=0.5424 top5=0.5878 loss=0.044861 time=33.72s
tensorized | epoch 93 | top1=0.2796 top2=0.4056 top3=0.4845 top4=0.5428 top5=0.5890 loss=0.044762 time=33.61s
tensorized | epoch 94 | top1=0.2808 top2=0.4035 top3=0.4811 top4=0.5406 top5=0.5851 loss=0.044863 time=33.66s
tensorized | epoch 95 | top1=0.2816 top2=0.4039 top3=0.4862 top4=0.5458 top5=0.5910 loss=0.044633 time=33.58s
tensorized | epoch 96 | top1=0.2837 top2=0.4069 top3=0.4891 top4=0.5477 top5=0.5915 loss=0.044631 time=33.58s
tensorized | epoch 97 | top1=0.2837 top2=0.4067 top3=0.4879 top4=0.5473 top5=0.5934 loss=0.044493 time=33.54s
tensorized | epoch 98 | top1=0.2849 top2=0.4074 top3=0.4878 top4=0.5470 top5=0.5922 loss=0.044389 time=33.78s
tensorized | epoch 99 | top1=0.2855 top2=0.4082 top3=0.4885 top4=0.5478 top5=0.5917 loss=0.044373 time=33.78s
tensorized | epoch 100 | top1=0.2873 top2=0.4108 top3=0.4907 top4=0.5503 top5=0.5945 loss=0.044237 time=33.70s
tensorized | epoch 1 | top1=0.0227 top2=0.0434 top3=0.0634 top4=0.0814 top5=0.0986 loss=0.070488 time=33.76s
