tensorized | epoch 90 | top1=0.1916 top2=0.2550 top3=0.2946 top4=0.3235 top5=0.3474 loss=0.058914 time=581.21s
tensorized | epoch 91 | top1=0.1925 top2=0.2568 top3=0.2971 top4=0.3256 top5=0.3491 loss=0.059202 time=581.27s
tensorized | epoch 92 | top1=0.1997 top2=0.2655 top3=0.3070 top4=0.3373 top5=0.3622 loss=0.059031 time=580.81s
tensorized | epoch 93 | top1=0.1862 top2=0.2475 top3=0.2859 top4=0.3147 top5=0.3375 loss=0.058821 time=581.16s
tensorized | epoch 94 | top1=0.1882 top2=0.2510 top3=0.2906 top4=0.3197 top5=0.3429 loss=0.059051 time=582.19s
tensorized | epoch 95 | top1=0.1952 top2=0.2601 top3=0.3003 top4=0.3309 top5=0.3543 loss=0.058936 time=581.71s
tensorized | epoch 96 | top1=0.1913 top2=0.2557 top3=0.2967 top4=0.3262 top5=0.3491 loss=0.058856 time=582.10s
tensorized | epoch 97 | top1=0.1924 top2=0.2565 top3=0.2969 top4=0.3266 top5=0.3500 loss=0.059039 time=581.47s
tensorized | epoch 98 | top1=0.1918 top2=0.2556 top3=0.2962 top4=0.3254 top5=0.3489 loss=0.059167 time=581.94s
tensorized | epoch 99 | top1=0.1954 top2=0.2608 top3=0.3017 top4=0.3311 top5=0.3549 loss=0.059004 time=581.73s
tensorized | epoch 100 | top1=0.1906 top2=0.2545 top3=0.2943 top4=0.3239 top5=0.3470 loss=0.059107 time=582.24s
