Train epoch 81: top1=0.492139995098114%, top2=0.7006999850273132%, top3=0.8126199841499329%, top4=0.8825399875640869%, top5=0.9266999959945679%, loss=0.04415167289495468, time=513.4312663078308s
Train epoch 82: top1=0.49393999576568604%, top2=0.7024199962615967%, top3=0.8156200051307678%, top4=0.884399950504303%, top5=0.9282400012016296%, loss=0.04378808125257492, time=514.5240828990936s
Train epoch 83: top1=0.4988600015640259%, top2=0.7068799734115601%, top3=0.8190400004386902%, top4=0.8861799836158752%, top5=0.9298200011253357%, loss=0.04355592301011085, time=514.6342775821686s
Train epoch 84: top1=0.5016399621963501%, top2=0.7118399739265442%, top3=0.8215599656105042%, top4=0.8895599842071533%, top5=0.9323199987411499%, loss=0.04297982652664185, time=514.417555809021s
Train epoch 85: top1=0.5051199793815613%, top2=0.713919997215271%, top3=0.8231599926948547%, top4=0.8907999992370605%, top5=0.9329599738121033%, loss=0.04278790890097618, time=514.3428440093994s
Train epoch 86: top1=0.5110599994659424%, top2=0.7199599742889404%, top3=0.8291400074958801%, top4=0.8932199478149414%, top5=0.9345200061798096%, loss=0.04241029601693153, time=514.589271068573s
Train epoch 87: top1=0.5049999952316284%, top2=0.7144599556922913%, top3=0.8220399618148804%, top4=0.8886799812316895%, top5=0.9314599633216858%, loss=0.04284576745867729, time=515.1731095314026s
Train epoch 88: top1=0.5033999681472778%, top2=0.7132200002670288%, top3=0.820099949836731%, top4=0.8864399790763855%, top5=0.9311800003051758%, loss=0.04314046651244163, time=514.989963054657s
Train epoch 89: top1=0.5072000026702881%, top2=0.7157799601554871%, top3=0.8231199979782104%, top4=0.890019953250885%, top5=0.9326799511909485%, loss=0.042680766180753706, time=514.8563756942749s
Train epoch 90: top1=0.5153200030326843%, top2=0.7223199605941772%, top3=0.8298400044441223%, top4=0.8942599892616272%, top5=0.9362199902534485%, loss=0.042029188950061795, time=514.3634679317474s
Train epoch 91: top1=0.5108999609947205%, top2=0.7176600098609924%, top3=0.825219988822937%, top4=0.8907999992370605%, top5=0.9328199625015259%, loss=0.04247786077618599, time=513.4296634197235s
Train epoch 92: top1=0.5132799744606018%, top2=0.7196199893951416%, top3=0.8235799670219421%, top4=0.8900799751281738%, top5=0.9332999587059021%, loss=0.04239421480417251, time=513.6973044872284s
Train epoch 93: top1=0.512179970741272%, top2=0.7205399870872498%, top3=0.8278599977493286%, top4=0.8939799666404724%, top5=0.9356799721717834%, loss=0.04214985075712204, time=514.0628464221954s
Train epoch 94: top1=0.5166999697685242%, top2=0.725059986114502%, top3=0.8283399939537048%, top4=0.8928799629211426%, top5=0.9331799745559692%, loss=0.04205908091783524, time=515.0799877643585s
Train epoch 95: top1=0.5180999636650085%, top2=0.7231400012969971%, top3=0.8277199864387512%, top4=0.8940199613571167%, top5=0.9343599677085876%, loss=0.041956787981987, time=514.5863599777222s
Train epoch 96: top1=0.5206400156021118%, top2=0.7277999520301819%, top3=0.8309599757194519%, top4=0.8967199921607971%, top5=0.9380599856376648%, loss=0.04163409170985222, time=514.9130110740662s
Train epoch 97: top1=0.5231999754905701%, top2=0.7289199829101562%, top3=0.8341400027275085%, top4=0.8966799974441528%, top5=0.9368999600410461%, loss=0.04147495056867599, time=513.7509472370148s
Train epoch 98: top1=0.5288999676704407%, top2=0.7333599925041199%, top3=0.8344999551773071%, top4=0.8969999551773071%, top5=0.9384199976921082%, loss=0.041078411532640455, time=513.8249206542969s
Train epoch 99: top1=0.5297200083732605%, top2=0.7318599820137024%, top3=0.8352199792861938%, top4=0.9003799557685852%, top5=0.9386799931526184%, loss=0.04097890878200531, time=514.280243396759s
Train epoch 100: top1=0.5335000157356262%, top2=0.7364000082015991%, top3=0.8378799557685852%, top4=0.8997799754142761%, top5=0.9396199584007263%, loss=0.04071450370311737, time=514.3897588253021s
Train epoch 101: top1=0.533079981803894%, top2=0.7348999977111816%, top3=0.8379799723625183%, top4=0.9004999995231628%, top5=0.9398599863052368%, loss=0.040766356831789016, time=515.0640571117401s
Train epoch 102: top1=0.5384399890899658%, top2=0.7422199845314026%, top3=0.8416199684143066%, top4=0.9025799632072449%, top5=0.9409399628639221%, loss=0.04029096400856972, time=513.7778701782227s
Train epoch 103: top1=0.5376799702644348%, top2=0.7400199770927429%, top3=0.8389399647712708%, top4=0.9017599821090698%, top5=0.9416599869728088%, loss=0.04044070915341377, time=514.8190484046936s
Train epoch 104: top1=0.5413399934768677%, top2=0.7425599694252014%, top3=0.8438999652862549%, top4=0.9039199948310852%, top5=0.9416199922561646%, loss=0.03996958898425102, time=513.9727308750153s
Train epoch 105: top1=0.5481399893760681%, top2=0.7499600052833557%, top3=0.846019983291626%, top4=0.9071799516677856%, top5=0.9443199634552002%, loss=0.03951906070947647, time=514.311336517334s
Train epoch 106: top1=0.5484799742698669%, top2=0.7501800060272217%, top3=0.8479399681091309%, top4=0.9081799983978271%, top5=0.9457399845123291%, loss=0.03949174315929413, time=514.7300789356232s
Train epoch 107: top1=0.5487399697303772%, top2=0.7505999803543091%, top3=0.848859965801239%, top4=0.9064599871635437%, top5=0.9424200057983398%, loss=0.03938524482965469, time=515.0293731689453s
Train epoch 108: top1=0.5555799603462219%, top2=0.7535799741744995%, top3=0.8521599769592285%, top4=0.9106999635696411%, top5=0.9464799761772156%, loss=0.03888795874118805, time=515.1116816997528s
Train epoch 109: top1=0.5550999641418457%, top2=0.7566799521446228%, top3=0.8545599579811096%, top4=0.9126399755477905%, top5=0.9481599926948547%, loss=0.03861899566173554, time=514.5043497085571s
Train epoch 110: top1=0.5560799837112427%, top2=0.756659984588623%, top3=0.8524399995803833%, top4=0.9104799628257751%, top5=0.946619987487793%, loss=0.0388144546687603, time=514.4900004863739s
Train epoch 111: top1=0.5599200129508972%, top2=0.7590000033378601%, top3=0.8542199730873108%, top4=0.9120000004768372%, top5=0.9473399519920349%, loss=0.03856533014774322, time=514.0791327953339s
Train epoch 112: top1=0.5633000135421753%, top2=0.7607399821281433%, top3=0.856440007686615%, top4=0.913159966468811%, top5=0.9478600025177002%, loss=0.0382421883392334, time=514.6883823871613s
Train epoch 113: top1=0.5656399726867676%, top2=0.7629799842834473%, top3=0.8570199608802795%, top4=0.9122799634933472%, top5=0.9486199617385864%, loss=0.038080797375440595, time=513.821161031723s
Train epoch 114: top1=0.5652599930763245%, top2=0.7644000053405762%, top3=0.8584199547767639%, top4=0.9150199890136719%, top5=0.9494400024414062%, loss=0.0378543347632885, time=513.9816403388977s
Train epoch 115: top1=0.5658199787139893%, top2=0.7654399871826172%, top3=0.8575800061225891%, top4=0.9155599474906921%, top5=0.9497399926185608%, loss=0.03784126512408256, time=514.3403170108795s
Train epoch 116: top1=0.5656799674034119%, top2=0.7653599977493286%, top3=0.8597999811172485%, top4=0.9146999716758728%, top5=0.949999988079071%, loss=0.037858105162978176, time=514.2607936859131s
Train epoch 117: top1=0.5726000070571899%, top2=0.7723199725151062%, top3=0.862339973449707%, top4=0.9175399541854858%, top5=0.9518799781799316%, loss=0.03713859566807747, time=514.1023409366608s
Train epoch 118: top1=0.5749799609184265%, top2=0.7698799967765808%, top3=0.8632599711418152%, top4=0.9183799624443054%, top5=0.9517599940299988%, loss=0.0373002397608757, time=514.2845041751862s
Train epoch 119: top1=0.5764999985694885%, top2=0.7723199725151062%, top3=0.8623799681663513%, top4=0.9191799759864807%, top5=0.9518599510192871%, loss=0.03715046316385269, time=514.4163689613342s
Train epoch 120: top1=0.5769999623298645%, top2=0.7726399898529053%, top3=0.8626799583435059%, top4=0.9175599813461304%, top5=0.9512799978256226%, loss=0.03708004890084267, time=514.4437124729156s
Train epoch 121: top1=0.5759400129318237%, top2=0.7726799845695496%, top3=0.8639999628067017%, top4=0.9200399518013%, top5=0.9521399736404419%, loss=0.037011385531425474, time=513.8581631183624s
Train epoch 122: top1=0.5755000114440918%, top2=0.7724999785423279%, top3=0.8646599650382996%, top4=0.9205799698829651%, top5=0.9523999691009521%, loss=0.03696455394387245, time=514.1722855567932s
Train epoch 123: top1=0.5740000009536743%, top2=0.7689999938011169%, top3=0.8641799688339233%, top4=0.9204399585723877%, top5=0.9529399871826172%, loss=0.03724426563024521, time=505.16556906700134s
Train epoch 124: top1=0.5807200074195862%, top2=0.7738199830055237%, top3=0.8668199777603149%, top4=0.9212599992752075%, top5=0.9548999667167664%, loss=0.036626887110471726, time=503.2251572608948s
Train epoch 125: top1=0.5823000073432922%, top2=0.7801600098609924%, top3=0.8689000010490417%, top4=0.9221799969673157%, top5=0.9542999863624573%, loss=0.0363755403637886, time=502.52859377861023s
