Train epoch 81: top1=0.9746666550636292%, top2=0.9944400191307068%, top3=0.9979000091552734%, top4=0.998936653137207%, top5=0.9994300007820129%, loss=0.0774371322143486, time=1682.1799774169922s
Train epoch 82: top1=0.9757066369056702%, top2=0.9945966601371765%, top3=0.9979900121688843%, top4=0.9989466667175293%, top5=0.9993699789047241%, loss=0.07519655182779153, time=1683.0625104904175s
Train epoch 83: top1=0.975713312625885%, top2=0.9945133328437805%, top3=0.9978633522987366%, top4=0.9989233016967773%, top5=0.9993866682052612%, loss=0.0751990245897744, time=1682.3619315624237s
Train epoch 84: top1=0.9756866693496704%, top2=0.9945099949836731%, top3=0.9978633522987366%, top4=0.9988899827003479%, top5=0.9993033409118652%, loss=0.07575845335333178, time=1680.803894519806s
Train epoch 85: top1=0.9765066504478455%, top2=0.9949866533279419%, top3=0.9980899691581726%, top4=0.9990533590316772%, top5=0.9994333386421204%, loss=0.07296139428517905, time=1682.2044229507446s
Train epoch 86: top1=0.9768966436386108%, top2=0.9949266910552979%, top3=0.9981200098991394%, top4=0.9991533160209656%, top5=0.9995133280754089%, loss=0.07150094584288626, time=1682.737342596054s
Train epoch 87: top1=0.9770833253860474%, top2=0.9949833154678345%, top3=0.9981099963188171%, top4=0.9990999698638916%, top5=0.9994533061981201%, loss=0.0713146474661655, time=1683.6293771266937s
Train epoch 88: top1=0.9768033027648926%, top2=0.9950466752052307%, top3=0.9980800151824951%, top4=0.9990633130073547%, top5=0.9994566440582275%, loss=0.0712204987098087, time=1682.5039930343628s
Train epoch 89: top1=0.9776333570480347%, top2=0.9951766729354858%, top3=0.9981399774551392%, top4=0.9990800023078918%, top5=0.9994733333587646%, loss=0.06973895696512306, time=1682.2403609752655s
Train epoch 90: top1=0.9777633547782898%, top2=0.9952700138092041%, top3=0.9982166886329651%, top4=0.9991666674613953%, top5=0.9994933605194092%, loss=0.06917470987576677, time=1682.1877081394196s
Train epoch 91: top1=0.9777399897575378%, top2=0.9951800107955933%, top3=0.9980899691581726%, top4=0.9990466833114624%, top5=0.9994499683380127%, loss=0.06865537757904837, time=1681.8631539344788s
Train epoch 92: top1=0.9780666828155518%, top2=0.9954066872596741%, top3=0.9981566667556763%, top4=0.9990666508674622%, top5=0.999406635761261%, loss=0.0679661999971613, time=1681.7161085605621s
Train epoch 93: top1=0.9785900115966797%, top2=0.9954033493995667%, top3=0.9982566833496094%, top4=0.9990866780281067%, top5=0.9994733333587646%, loss=0.06673098579472259, time=1681.2809131145477s
Train epoch 94: top1=0.9787733554840088%, top2=0.995223343372345%, top3=0.99809330701828%, top4=0.9990500211715698%, top5=0.999459981918335%, loss=0.06623285772979583, time=1680.3448414802551s
Train epoch 95: top1=0.978796660900116%, top2=0.9956433176994324%, top3=0.9982933402061462%, top4=0.9991233348846436%, top5=0.9995599985122681%, loss=0.06544891832744641, time=1681.079917192459s
Train epoch 96: top1=0.9790266752243042%, top2=0.9958133101463318%, top3=0.9983866810798645%, top4=0.9992833137512207%, top5=0.9995866417884827%, loss=0.06460185594934813, time=1681.9722583293915s
Train epoch 97: top1=0.9793033599853516%, top2=0.9957466721534729%, top3=0.9983999729156494%, top4=0.999210000038147%, top5=0.9995099902153015%, loss=0.06395877309741463, time=1681.9852368831635s
Train epoch 98: top1=0.9793866872787476%, top2=0.9956566691398621%, top3=0.9983599781990051%, top4=0.9991933107376099%, top5=0.9994900226593018%, loss=0.06338143749112393, time=1680.3766803741455s
Train epoch 99: top1=0.979586660861969%, top2=0.9957299828529358%, top3=0.9983999729156494%, top4=0.9992300271987915%, top5=0.9995466470718384%, loss=0.0632537019296701, time=1680.6904442310333s
Train epoch 100: top1=0.9799299836158752%, top2=0.9958433508872986%, top3=0.9984166622161865%, top4=0.999210000038147%, top5=0.9995766878128052%, loss=0.06255482921414868, time=1682.2041323184967s
