original | epoch 136 | top1=0.3747 top2=0.4283 top3=0.4561 top4=0.4740 top5=0.4895 loss=0.086226 time=463.08s
original | epoch 137 | top1=0.3802 top2=0.4357 top3=0.4631 top4=0.4815 top5=0.4954 loss=0.086386 time=463.23s
original | epoch 138 | top1=0.3865 top2=0.4398 top3=0.4660 top4=0.4846 top5=0.4992 loss=0.084941 time=463.49s
original | epoch 139 | top1=0.3930 top2=0.4455 top3=0.4717 top4=0.4899 top5=0.5037 loss=0.084640 time=463.48s
original | epoch 140 | top1=0.3820 top2=0.4340 top3=0.4608 top4=0.4791 top5=0.4933 loss=0.084973 time=463.02s
original | epoch 141 | top1=0.3903 top2=0.4410 top3=0.4674 top4=0.4855 top5=0.5000 loss=0.083994 time=463.05s
original | epoch 142 | top1=0.3873 top2=0.4383 top3=0.4634 top4=0.4812 top5=0.4956 loss=0.084023 time=463.41s
original | epoch 143 | top1=0.3888 top2=0.4391 top3=0.4643 top4=0.4816 top5=0.4953 loss=0.083564 time=463.19s
original | epoch 144 | top1=0.4022 top2=0.4527 top3=0.4775 top4=0.4955 top5=0.5092 loss=0.083226 time=463.22s
original | epoch 145 | top1=0.4002 top2=0.4491 top3=0.4735 top4=0.4911 top5=0.5052 loss=0.081808 time=463.19s
original | epoch 146 | top1=0.4050 top2=0.4531 top3=0.4775 top4=0.4951 top5=0.5084 loss=0.081866 time=463.39s
original | epoch 147 | top1=0.4085 top2=0.4570 top3=0.4811 top4=0.4975 top5=0.5112 loss=0.081678 time=463.32s
original | epoch 148 | top1=0.3958 top2=0.4421 top3=0.4662 top4=0.4831 top5=0.4961 loss=0.081433 time=463.31s
original | epoch 149 | top1=0.4044 top2=0.4488 top3=0.4720 top4=0.4888 top5=0.5010 loss=0.080790 time=463.41s
original | epoch 150 | top1=0.4244 top2=0.4711 top3=0.4942 top4=0.5102 top5=0.5233 loss=0.080382 time=463.31s
original | epoch 151 | top1=0.4014 top2=0.4468 top3=0.4694 top4=0.4862 top5=0.4993 loss=0.080281 time=463.31s
original | epoch 152 | top1=0.4079 top2=0.4510 top3=0.4741 top4=0.4899 top5=0.5026 loss=0.079226 time=463.32s
original | epoch 153 | top1=0.4259 top2=0.4689 top3=0.4922 top4=0.5078 top5=0.5201 loss=0.078371 time=463.28s
original | epoch 154 | top1=0.4121 top2=0.4532 top3=0.4754 top4=0.4916 top5=0.5044 loss=0.078568 time=463.20s
original | epoch 155 | top1=0.4017 top2=0.4430 top3=0.4648 top4=0.4806 top5=0.4940 loss=0.078125 time=463.19s
original | epoch 156 | top1=0.4250 top2=0.4664 top3=0.4879 top4=0.5038 top5=0.5165 loss=0.078239 time=463.61s
original | epoch 157 | top1=0.4255 top2=0.4678 top3=0.4899 top4=0.5054 top5=0.5175 loss=0.078106 time=463.36s
original | epoch 158 | top1=0.4236 top2=0.4647 top3=0.4861 top4=0.5017 top5=0.5146 loss=0.077745 time=463.31s
original | epoch 159 | top1=0.4368 top2=0.4786 top3=0.5004 top4=0.5159 top5=0.5284 loss=0.077106 time=463.31s
